year,month,rank,RET
2001,8,0,-0.0825826923076923
2001,8,1,-0.035452974358974355
2001,8,2,-0.0478985641025641
2001,8,3,-0.023841871794871794
2001,8,4,-0.00686
2001,8,5,-0.032347342105263154
2001,8,6,-0.04631351282051282
2001,8,7,-0.014394076923076926
2001,8,8,-0.032120461538461535
2001,8,9,0.01316407692307692
2001,8,diff,0.09574676923076922
2001,9,0,-0.13440982051282052
2001,9,1,-0.13642382051282054
2001,9,2,-0.1082433947368421
2001,9,3,-0.14250548717948716
2001,9,4,-0.1348859487179487
2001,9,5,-0.10118784210526316
2001,9,6,-0.13072966666666666
2001,9,7,-0.13793636842105264
2001,9,8,-0.12338371794871794
2001,9,9,-0.08370584615384616
2001,9,diff,0.05070397435897436
2001,10,0,0.05951405128205129
2001,10,1,0.03526831578947368
2001,10,2,0.08618734210526316
2001,10,3,0.026632236842105268
2001,10,4,0.032133564102564106
2001,10,5,0.03967721052631579
2001,10,6,0.041147184210526315
2001,10,7,0.010914026315789475
2001,10,8,0.10364086842105262
2001,10,9,-0.06085853846153847
2001,10,diff,-0.12037258974358976
2001,11,0,0.11453997435897435
2001,11,1,0.08557405263157895
2001,11,2,0.04570847368421053
2001,11,3,0.1095775
2001,11,4,0.07738802631578946
2001,11,5,0.08874523684210527
2001,11,6,0.07962705263157895
2001,11,7,0.06530318421052632
2001,11,8,0.06989607894736842
2001,11,9,0.1814995
2001,11,diff,0.06695952564102566
2001,12,0,0.13211720512820513
2001,12,1,0.07316555263157895
2001,12,2,0.06074373684210527
2001,12,3,0.06362234210526316
2001,12,4,0.08188548717948718
2001,12,5,0.08469126315789474
2001,12,6,0.09987078947368422
2001,12,7,0.04693971052631579
2001,12,8,0.06733971052631578
2001,12,9,0.027093512820512818
2001,12,diff,-0.10502369230769232
2002,1,0,-0.07993942105263159
2002,1,1,-0.0710617894736842
2002,1,2,-0.01576107894736842
2002,1,3,0.01237142105263158
2002,1,4,-0.00970273684210526
2002,1,5,-0.013912684210526313
2002,1,6,-0.001541894736842105
2002,1,7,0.056926368421052635
2002,1,8,0.06904563157894737
2002,1,9,0.03880102631578947
2002,1,diff,0.11874044736842107
2002,2,0,-0.07233336842105263
2002,2,1,-0.011401078947368422
2002,2,2,-0.012813947368421051
2002,2,3,-0.02709572972972973
2002,2,4,-0.030542973684210526
2002,2,5,0.02085852631578947
2002,2,6,-0.04037210810810811
2002,2,7,0.0035275263157894766
2002,2,8,0.0028838157894736836
2002,2,9,-0.007968947368421053
2002,2,diff,0.06436442105263158
2002,3,0,0.06843642105263158
2002,3,1,0.0871202894736842
2002,3,2,0.07401683783783784
2002,3,3,0.08311573684210527
2002,3,4,0.07895664864864865
2002,3,5,0.0782311052631579
2002,3,6,0.08932243243243243
2002,3,7,0.07212060526315789
2002,3,8,0.08523024324324324
2002,3,9,0.13239347368421053
2002,3,diff,0.06395705263157896
2002,4,0,-0.07991384210526316
2002,4,1,-0.01306945945945946
2002,4,2,0.02188189189189189
2002,4,3,0.022662972972972973
2002,4,4,0.016461891891891893
2002,4,5,0.015418864864864863
2002,4,6,0.004199756756756757
2002,4,7,0.06812421621621621
2002,4,8,0.002268189189189187
2002,4,9,0.08240652631578947
2002,4,diff,0.16232036842105263
2002,5,0,-0.05446557894736842
2002,5,1,-0.03881489189189189
2002,5,2,-0.002347631578947369
2002,5,3,-0.023871783783783785
2002,5,4,-0.03736326315789474
2002,5,5,-0.01507262162162162
2002,5,6,-0.02503505405405405
2002,5,7,-0.03430507894736842
2002,5,8,-0.019254243243243242
2002,5,9,0.0019902894736842118
2002,5,diff,0.05645586842105263
2002,6,0,-0.19313915789473685
2002,6,1,-0.056318540540540536
2002,6,2,-0.05647891891891892
2002,6,3,-0.06672608108108108
2002,6,4,-0.03456164864864865
2002,6,5,-0.02725091891891892
2002,6,6,0.0003206756756756735
2002,6,7,-0.05891248648648649
2002,6,8,-0.0822262972972973
2002,6,9,-0.05314518918918919
2002,6,diff,0.13999396870554764
2002,7,0,-0.09157226315789474
2002,7,1,-0.11432978378378379
2002,7,2,-0.12083516216216217
2002,7,3,-0.12314827027027028
2002,7,4,-0.09637502702702704
2002,7,5,-0.17054454054054052
2002,7,6,-0.1296310810810811
2002,7,7,-0.11775832432432433
2002,7,8,-0.11548189189189188
2002,7,9,-0.08387663157894737
2002,7,diff,0.007695631578947371
2002,8,0,0.007786486486486485
2002,8,1,-0.032387648648648654
2002,8,2,0.005242250000000003
2002,8,3,0.010587864864864864
2002,8,4,0.015609945945945948
2002,8,5,-0.000255499999999998
2002,8,6,0.015558729729729727
2002,8,7,-0.059409027777777776
2002,8,8,0.026672324324324325
2002,8,9,0.005944243243243244
2002,8,diff,-0.001842243243243241
2002,9,0,-0.12595945945945947
2002,9,1,-0.05031525
2002,9,2,-0.06958972222222222
2002,9,3,-0.08595918918918918
2002,9,4,-0.05888447222222223
2002,9,5,-0.036077583333333337
2002,9,6,-0.04456018918918919
2002,9,7,-0.04666722222222222
2002,9,8,-0.06827438888888888
2002,9,9,-0.15385302702702702
2002,9,diff,-0.027893567567567557
2002,10,0,0.08483797222222222
2002,10,1,0.04357166666666667
2002,10,2,-0.0013109999999999988
2002,10,3,0.057218428571428566
2002,10,4,0.026217416666666667
2002,10,5,0.03880416666666667
2002,10,6,0.006072942857142858
2002,10,7,0.031910972222222216
2002,10,8,-0.0033328888888888913
2002,10,9,0.012748749999999998
2002,10,diff,-0.07208922222222222
2002,11,0,0.24050672222222222
2002,11,1,0.024433500000000004
2002,11,2,0.05237811428571429
2002,11,3,0.06743438888888889
